UPJONG_CD,YM,TIME,CARD_TOTAL,CARD_TRY
ss008,201806,4,5,10
ss008,201909,4,5,0
ss008,202106,3,10,55
ss008,201708,3,20,96
ss008,201610,3,25,15
ss008,202005,2,15,5
ss008,201812,6,5,30
ss008,201902,3,25,5
ss008,202003,4,65,5
ss008,201903,4,191,0
ss008,201610,2,166,0
ss008,201603,4,10,5
ss008,201706,5,10,20
ss008,201806,1,55,65
ss008,202101,4,5,10
ss008,201901,6,10,10
ss008,201611,5,5,0
ss008,201608,4,131,40
ss008,201704,1,30,0
ss008,201905,5,80,5
ss008,201801,5,392,5
ss008,201808,3,10,86
ss008,202005,2,176,5
ss008,201802,3,40,30
ss008,201612,3,5,20
ss008,201902,5,5,20
ss008,201812,3,15,25
ss008,201704,1,5,136
ss008,202009,5,5,20
ss008,201707,3,70,10
ss008,201909,4,30,5
ss008,201606,1,5,0
ss008,201712,3,15,0
ss008,201910,1,5,70
ss008,201609,2,5,15
ss008,201612,3,5,5
