SIDO,YM,CARD_TOTAL,CARD_TRY,UPJONG_CD
서울,20181108,15593,15,ss002
서울,20160708,191140,20,ss001
서울,20200619,125750,10,ss005
경기,20200403,171020,10,ss008
서울,20180708,1106600,15,ss002
서울,20190416,45270,10,ss008
서울,20170329,22635,10,ss002
서울,20160314,227356,5,ss003
서울,20190412,424029,5,ss006
서울,20210415,12575,5,ss002
경기,20201130,23893,5,ss001
경기,20160917,272475,10,ss008
제주,20180610,14084,5,ss006
전남,20180723,170014,101,ss004
서울,20201227,482377,5,ss003
서울,20160706,422520,10,ss001
서울,20200711,819085,5,ss001
서울,20190112,140840,5,ss001
서울,20190422,45270,30,ss008
서울,20171204,42755,5,ss008
경기,20170626,61366,5,ss001
서울,20160430,176050,186,ss002
서울,20190323,67402,5,ss001
서울,20200207,30180,5,ss008
서울,20181222,76964,5,ss001
서울,20170911,251500,5,ss004
서울,20160705,291740,5,ss002
서울,20210118,100449,5,ss001
서울,20190508,1364498,75,ss003
경기,20190617,3311299,5,ss001
서울,20160728,26156,96,ss002
서울,20200708,114986,5,ss002
서울,20190206,411957,5,ss006
대구,20191103,46779,5,ss002
부산,20160309,60360,10,ss002
서울,20200723,165487,5,ss007
서울,20170312,160960,15,ss001
서울,20180513,1290648,5,ss004
경기,20170426,224338,5,ss001
서울,20160726,37725,25,ss008
경기,20170713,55330,5,ss008
서울,20200705,3219200,5,ss001
서울,20190210,49797,5,ss006
서울,20170525,417440,15,ss008
서울,20160720,201200,136,ss003
경기,20170316,323932,5,ss002
서울,20161001,128265,5,ss001
경기,20160715,2535120,5,ss003
서울,20170812,56336,5,ss007
서울,20180827,43258,20,ss008
서울,20210314,40240,25,ss003
서울,20200620,40240,5,ss005
서울,20201113,71929,5,ss001
서울,20210324,101012,5,ss006
경북,20160112,254015,5,ss002
서울,20160819,492940,10,ss003
경기,20160131,16599,5,ss001
서울,20160101,151906,5,ss008
충남,20190101,160608,5,ss008
서울,20190219,15090,10,ss001
충북,20210504,25653,5,ss008
서울,20160923,75450,15,ss003
서울,20200922,30180,5,ss001
서울,20170201,21126,35,ss003
경기,20210621,54827,10,ss002
서울,20190710,15090,86,ss008
서울,20210228,30180,5,ss002
서울,20170906,756512,5,ss003
서울,20180801,173032,5,ss002
서울,20170219,799770,15,ss001
서울,20210715,109050,5,ss008
제주,20201008,106636,10,ss001
부산,20160113,150900,30,ss003
서울,20180429,35210,20,ss001
서울,20200617,55330,5,ss001
서울,20171219,6539,5,ss008
서울,20160523,14084,10,ss001
서울,20200115,28671,5,ss003
서울,20190925,22132,10,ss008
서울,20180524,30180,5,ss002
서울,20210131,2515,5,ss002
경기,20170503,50300,5,ss008
서울,20210317,100097,5,ss002
서울,20160625,415579,25,ss008
서울,20170206,289175,5,ss004
서울,20180428,22635,10,ss001
서울,20161124,10060,5,ss007
서울,20160831,92150,5,ss002
경기,20180820,376138,30,ss008
서울,20160204,545619,5,ss001
전북,20200324,196170,10,ss001
서울,20190430,130780,10,ss007
경기,20170527,47282,5,ss001
서울,20191001,56839,10,ss002
서울,20160206,237919,50,ss002
서울,20210120,348579,10,ss003
경기,20200413,941415,10,ss001
서울,20210606,39234,5,ss001
서울,20181225,137822,5,ss001
서울,20170210,65390,15,ss002
서울,20201027,3281673,5,ss008
서울,20160227,407430,5,ss006
서울,20160816,262566,5,ss001
서울,20200402,338519,10,ss002
서울,20160717,122430,5,ss008
서울,20210305,149140,5,ss008
서울,20190619,88025,5,ss002
서울,20160916,41749,5,ss008
서울,20160721,72935,10,ss001
서울,20210228,955700,5,ss004
서울,20180514,123336,5,ss007
경남,20180420,268149,5,ss008
서울,20170222,14587,35,ss002
서울,20160826,7042,5,ss001
서울,20180710,439421,30,ss002
서울,20190819,16096,15,ss003
경남,20201130,73438,5,ss003
서울,20210216,40240,5,ss008
서울,20200727,120972,35,ss002
서울,20180622,5533,5,ss007
서울,20160507,18108,5,ss008
경기,20171202,341990,5,ss002
경북,20160907,58449,5,ss007
서울,20161007,216290,10,ss001
