서울시민업종코드(UPJONG_CD),기준년월(YM),시간대구간(TIME),고객주소블록코드(BLOCK_CD),카드이용금액계(AMT_CORR),소액결제건수(MICRO_PYM)
ss004,201905,4,223206,25,10
ss004,201804,4,9556,91,25
ss004,201911,2,152867,86,5
ss004,201603,2,349547,5,181
ss004,202004,4,416778,15,10
ss004,202101,4,280589,25,5
ss004,201910,3,152962,35,0
ss004,201801,2,221894,5,0
ss004,201912,2,218798,5,20
ss004,201805,6,363821,35,0
ss004,202007,6,34668,91,0
ss004,201711,4,419420,25,10
ss004,202102,5,21419,10,40
ss004,201901,6,211408,5,5
ss004,202103,1,207033,10,25
ss004,201803,4,155587,15,5
ss004,201908,1,283229,10,10
ss004,201602,3,221130,186,10
ss004,201709,4,409278,5,20
ss004,201808,2,354591,10,15
ss004,201904,4,206665,322,55
ss004,201812,3,351453,25,0
ss004,201712,2,219289,5,25
ss004,202010,2,11067,25,40
ss004,202005,3,223632,91,15
ss004,201805,3,194278,40,45
ss004,202103,4,224844,25,0
ss004,202002,6,168771,5,141
ss004,201806,6,361962,15,0
ss004,202105,3,222349,10,10
ss004,202105,2,352489,30,25
ss004,201605,4,421280,55,10
ss004,201910,5,159696,5,5
ss004,201601,1,14764,5,5
ss004,201611,1,232149,5,5
ss004,201805,6,23965,111,0
ss004,202101,3,210509,40,0
ss004,202102,5,282243,5,15
ss004,201908,2,10360,55,10
ss004,201808,2,175403,5,35
ss004,201810,1,19311,30,35
ss004,201711,4,154441,5,0
ss004,201601,5,223818,25,5
ss004,201807,3,365949,30,30
ss005,202104,4,227521,5,0
ss005,201805,5,411679,5,35
ss005,201708,6,232803,5,5
ss005,201912,6,221545,40,5
ss005,201609,3,14128,25,5
ss005,202107,3,222577,15,15
ss005,201807,1,120090,20,0
ss005,201911,3,282245,50,362
ss005,201903,5,157989,5,70
ss005,201612,3,216024,231,176
ss005,201710,2,365216,35,10
ss005,201604,6,343429,10,25
ss005,202005,6,221103,5,35
ss005,201601,4,157847,5,5
ss005,201605,3,361435,10,15
ss005,201809,3,156940,30,10
ss005,201603,4,229328,5,0
ss005,201604,4,156699,302,5
ss005,201610,2,155913,30,483
ss006,202101,6,17521,10,25
ss006,202011,2,152539,75,5
ss006,201606,2,282881,25,91
ss006,201604,6,415314,15,25
ss006,201807,5,220333,15,0
ss006,201711,5,360750,15,50
ss006,202009,3,227670,186,5
ss006,201907,4,32884,5,25
ss006,201802,1,365845,10,20
ss006,201806,3,232262,181,0
ss006,201906,2,19869,10,0
ss006,202009,4,502754,5,0
ss006,201708,5,154348,402,5
ss006,202104,5,157904,55,5
ss006,201708,5,218258,5,25
ss006,202103,3,15332,10,0
ss006,201805,6,32427,70,15
ss006,201802,4,223570,10,0
ss006,201906,1,210934,5,15
ss006,202101,5,152506,15,5
ss006,201901,2,421392,5,0
ss006,201702,4,231674,10,5
ss006,202009,4,316854,5,0
ss006,201702,4,153335,5,10
ss006,201708,4,221615,5,10
ss006,201610,1,230013,10,0
ss006,201808,5,74631,65,0
ss006,201807,2,217357,15,5
ss006,201905,5,219629,5,5
ss006,201602,2,209696,246,5
ss006,201809,5,19269,5,5
ss006,201911,4,226607,30,60
