업종대분류(UPJONG_CLASS1),기준일자(YMD),시간대구간(TIME),고객주소집계구별(TOT_REG_CD),카드이용금액계(AMT_CORR),카드이용건수계(USECT_CORR)
유통,20200227,3,1.11E+12,1672475,5
의료,20191128,1,1.11E+12,323932,10
요식/유흥,20190126,4,1.12E+12,363870,5
스포츠/문화/레저,20160726,2,1.10E+12,33701,5
스포츠/문화/레저,20180211,3,1.12E+12,843028,5
자동차/주유,20191106,3,1.12E+12,126253,10
스포츠/문화/레저,20200815,5,1.10E+12,331175,10
가정생활/서비스,20201227,6,1.12E+12,75450,15
유통,20180911,4,1.11E+12,357885,20
유통,20190708,3,1.12E+12,289099,5
요식/유흥,20200614,2,1.12E+12,322021,25
의료,20200208,5,1.12E+12,128265,40
가정생활/서비스,20180110,3,1.11E+12,58348,5
요식/유흥,20160628,2,1.11E+12,748866,5
가정생활/서비스,20190330,5,1.11E+12,8048,20
의료,20160612,1,1.13E+12,1114296,5
전자상거래,20160603,5,1.11E+12,150900,25
자동차/주유,20160308,6,1.11E+12,210294,15
스포츠/문화/레저,20170321,6,1.11E+12,970539,5
요식/유흥,20201223,3,1.11E+12,144361,10
스포츠/문화/레저,20180513,3,1.11E+12,35210,45
자동차/주유,20160214,6,1.11E+12,774972,10
요식/유흥,20200429,5,1.12E+12,1066058,5
자동차/주유,20171223,5,1.11E+12,698214,5
의료,20180820,5,1.12E+12,24144,15
전자상거래,20170312,4,1.11E+12,365631,50
스포츠/문화/레저,20180828,3,1.12E+12,25150,5
요식/유흥,20160904,4,1.12E+12,769590,40
전자상거래,20190105,6,1.12E+12,1106600,15
전자상거래,20160624,4,1.12E+12,193152,10
스포츠/문화/레저,20200903,5,1.11E+12,679452,30
가정생활/서비스,20190501,2,1.11E+12,532224,5
유통,20200624,2,1.12E+12,537828,5
전자상거래,20181104,5,1.12E+12,457076,45
의료,20180503,1,1.11E+12,2605002,5
유통,20190226,6,1.10E+12,100600,40
교육/학원,20160102,3,1.11E+12,708727,5
의료,20191229,1,1.11E+12,457730,30
의료,20181110,3,1.11E+12,365681,10
전자상거래,20170820,4,1.12E+12,435497,5
자동차/주유,20200804,3,1.10E+12,1449646,91
스포츠/문화/레저,20190930,1,1.11E+12,10060,5
유통,20201123,4,1.12E+12,350591,55
유통,20170925,4,1.11E+12,70420,40
전자상거래,20210318,3,1.11E+12,186110,5
요식/유흥,20170117,3,1.11E+12,1509000,10
의료,20190829,6,1.11E+12,30180,45
전자상거래,20160409,5,1.11E+12,135056,5
요식/유흥,20160815,5,1.12E+12,120217,25
요식/유흥,20170226,1,1.12E+12,2012,5
요식/유흥,20170405,3,1.12E+12,603600,10
요식/유흥,20210701,3,1.12E+12,406223,40
자동차/주유,20160524,4,1.12E+12,748263,15
유통,20200308,4,1.11E+12,198182,5
스포츠/문화/레저,20190914,6,1.11E+12,22635,211
전자상거래,20180722,5,1.11E+12,185607,25
스포츠/문화/레저,20171130,6,1.12E+12,688758,176
요식/유흥,20210628,4,1.12E+12,84806,5
전자상거래,20201210,5,1.12E+12,280070,10
스포츠/문화/레저,20170708,2,1.12E+12,587001,15
요식/유흥,20180123,3,1.12E+12,356124,10
전자상거래,20200802,5,1.11E+12,171020,10
유통,20180630,6,1.11E+12,298782,30
스포츠/문화/레저,20200516,5,1.12E+12,380771,5
유통,20181211,1,1.12E+12,618690,60
전자상거래,20201231,3,1.12E+12,349585,10
요식/유흥,20180205,3,1.11E+12,1700140,15
전자상거래,20170819,3,1.11E+12,1080746,5
가정생활/서비스,20170820,2,1.11E+12,20120,5
요식/유흥,20190201,2,1.11E+12,337463,35
전자상거래,20170907,4,1.10E+12,211260,25
가정생활/서비스,20180628,1,1.12E+12,7728042,10
스포츠/문화/레저,20210619,3,1.12E+12,2081062,25
유통,20190808,4,1.11E+12,34707,15
유통,20170501,4,1.11E+12,103618,60
유통,20170531,4,1.11E+12,400489,5
요식/유흥,20181113,1,1.11E+12,9557,5
유통,20201220,3,1.12E+12,50803,5
전자상거래,20161129,1,1.11E+12,28168,5
자동차/주유,20160517,6,1.11E+12,180124,15
요식/유흥,20180922,6,1.12E+12,100600,5
유통,20200601,3,1.10E+12,52815,15
자동차/주유,20170517,4,1.12E+12,50300,50
요식/유흥,20191008,2,1.12E+12,26659,20
자동차/주유,20190925,4,1.12E+12,1746466,10
자동차/주유,20170608,2,1.12E+12,40240,5
유통,20200502,5,1.11E+12,367190,35
가정생활/서비스,20161026,2,1.11E+12,2698771,25
스포츠/문화/레저,20210102,4,1.10E+12,241440,5
가정생활/서비스,20180816,5,1.11E+12,1327417,15
가정생활/서비스,20171114,6,1.12E+12,287213,10
전자상거래,20160314,2,1.11E+12,19114,10
의료,20161217,3,1.12E+12,53821,15
전자상거래,20180513,5,1.12E+12,181583,35
요식/유흥,20200304,4,1.10E+12,28168,5
스포츠/문화/레저,20201015,1,1.10E+12,124090,5
전자상거래,20200903,6,1.11E+12,334998,10
가정생활/서비스,20190427,6,1.12E+12,80480,10
스포츠/문화/레저,20171205,5,1.10E+12,382280,30
자동차/주유,20200429,2,1.11E+12,21126,5
유통,20160927,4,1.12E+12,1176301,5
교육/학원,20180116,5,1.11E+12,251500,5
스포츠/문화/레저,20191012,6,1.11E+12,120675,5
요식/유흥,20160303,3,1.11E+12,434592,45
자동차/주유,20170328,2,1.11E+12,394302,10
스포츠/문화/레저,20210723,6,1.12E+12,87170,20
요식/유흥,20200219,6,1.10E+12,959724,5
요식/유흥,20210226,5,1.11E+12,121726,5
가정생활/서비스,20171118,4,1.11E+12,256681,30
전자상거래,20161230,4,1.11E+12,436000,5
스포츠/문화/레저,20210112,2,1.12E+12,78518,5
가정생활/서비스,20171210,4,1.12E+12,150900,5
자동차/주유,20180630,4,1.12E+12,72935,5
유통,20191124,3,1.10E+12,747961,5
교육/학원,20180516,2,1.11E+12,40139,101
유통,20200518,2,1.12E+12,1006000,25
요식/유흥,20210423,4,1.12E+12,653649,5
가정생활/서비스,20180206,6,1.11E+12,329465,30
자동차/주유,20190110,3,1.11E+12,220314,5
요식/유흥,20160602,5,1.12E+12,430266,5
유통,20180603,5,1.10E+12,305975,25
유통,20160430,3,1.10E+12,657119,5
요식/유흥,20200802,3,1.12E+12,729199,5
전자상거래,20190523,2,1.12E+12,37725,15
스포츠/문화/레저,20200301,4,1.12E+12,150900,5
유통,20200115,6,1.11E+12,245313,5
요식/유흥,20161215,3,1.12E+12,511652,20
유통,20200117,2,1.11E+12,415478,5
의료,20210704,4,1.11E+12,524528,25
요식/유흥,20200922,2,1.11E+12,47785,5
가정생활/서비스,20180608,3,1.11E+12,40240,5
유통,20160408,5,1.11E+12,22635,5
가정생활/서비스,20171020,6,1.11E+12,424029,15
요식/유흥,20201126,5,1.12E+12,1112244,106
유통,20190609,1,1.11E+12,241440,5
의료,20161229,3,1.12E+12,619339,25
교육/학원,20200515,5,1.11E+12,242446,70
자동차/주유,20170819,1,1.12E+12,291740,15
자동차/주유,20191027,6,1.11E+12,313017,5
요식/유흥,20191029,4,1.11E+12,699170,5
요식/유흥,20210416,4,1.12E+12,3606309,45
전자상거래,20180622,2,1.10E+12,27665,20
유통,20210723,5,1.11E+12,137319,10
유통,20190703,4,1.11E+12,17605,10
유통,20190807,5,1.12E+12,138828,10
가정생활/서비스,20190204,4,1.11E+12,259649,86
유통,20180114,4,1.11E+12,2942651,5
유통,20190915,2,1.12E+12,193152,10
유통,20200211,4,1.11E+12,123235,40
